particles,steps,gpu_block_size,runs,mean_time_s,stddev_time_s,min_time_s,max_time_s,mean_abs_delta_total
1000,5000,64,5,2.782967,0.032188,2.768174,2.840538,0.004000
1000,5000,128,5,2.737995,0.000568,2.737263,2.738760,0.004000
1000,5000,256,5,2.864001,0.002560,2.860796,2.867214,0.004000
1000,5000,512,5,3.676492,0.001065,3.675640,3.678315,0.004000
1000,5000,1024,5,6.590109,0.002078,6.588239,6.592408,0.004000
2000,5000,64,5,4.706831,0.001522,4.704437,4.708255,0.099726
2000,5000,128,5,4.687594,0.001321,4.685862,4.689262,0.099726
2000,5000,256,5,4.813158,0.000569,4.812602,4.814042,0.099726
2000,5000,512,5,5.839514,0.000783,5.838600,5.840544,0.099726
2000,5000,1024,5,10.550609,0.002200,10.549184,10.554400,0.099726
4000,5000,64,5,8.544700,0.002417,8.542913,8.548915,0.266290
4000,5000,128,5,8.459258,0.001185,8.457373,8.460290,0.266290
4000,5000,256,5,8.719917,0.004088,8.716502,8.726194,0.266290
4000,5000,512,5,10.297810,0.000282,10.297526,10.298237,0.266290
4000,5000,1024,5,18.244352,0.002454,18.242229,18.248573,0.266290
8000,5000,64,1,16.025530,0.000000,16.025530,16.025530,0.334327
8000,5000,128,1,15.971638,0.000000,15.971638,15.971638,0.334327
8000,5000,256,1,16.614128,0.000000,16.614128,16.614128,0.334327
8000,5000,512,1,19.334662,0.000000,19.334662,19.334662,0.334327
8000,5000,1024,1,33.438938,0.000000,33.438938,33.438938,0.334327
